customer_id,customer_name,segment,recency,frequency,monetary,avg_discount,avg_margin,num_channels,churn_prob,segment_label,recommended_action,priority
ME-17320,Maria Etezadi,Home Office,42,10,1859.4695,0.1318181818181818,0.015665584415584383,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
MC-17425,Mark Cousins,Corporate,399,5,1802.3903,0.12,0.30624999999999997,3,,At Risk,Re-engagement email: show personalized deals,LOW
YS-21880,Yana Sorensen,Corporate,9,8,1778.2923,0.05000000000000001,0.23687499999999997,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
KW-16435,Katrina Willman,Consumer,96,5,1756.135,0.11000000000000001,0.11802777777777773,3,,Lost,Standard newsletter + seasonal promotions,LOW
DM-13015,Darrin Martin,Consumer,57,7,1677.3931,0.22999999999999998,0.04533333333333332,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
MW-18235,Mitch Willingham,Corporate,44,2,1665.516,0.06666666666666667,0.2874999999999999,3,,Lost,Standard newsletter + seasonal promotions,LOW
KF-16285,Karen Ferguson,Home Office,97,7,1660.1386,0.03333333333333334,0.3259722222222222,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DR-12880,Dan Reichenbach,Corporate,3,9,1641.8613,0.13333333333333333,0.18253472222222222,3,0.0016477611,Loyal,Upsell to higher-margin categories (Technology),LOW
JE-15610,Jim Epp,Corporate,48,7,1623.4019,0.16,0.12958333333333333,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
JD-16150,Justin Deggeller,Corporate,41,8,1619.5199,0.05588235294117647,0.17896193771626298,3,0.0024849984,Loyal,Upsell to higher-margin categories (Technology),LOW
VD-21670,Valerie Dominguez,Consumer,581,6,1617.7874000000002,0.07500000000000001,0.21828124999999998,3,,At Risk,Re-engagement email: show personalized deals,LOW
RW-19540,Rick Wilson,Corporate,120,7,1586.6273,0.13478260869565217,0.16914251207729467,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
JM-15865,John Murray,Consumer,109,7,1574.6163999999999,0.1846153846153846,-0.014093406593406597,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
CM-12655,Corinna Mitchell,Home Office,27,6,1572.4585,0.072,0.2433529411764706,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DP-13390,Dennis Pardue,Home Office,358,9,1571.8318,0.18571428571428572,0.023392857142857104,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
BF-11170,Ben Ferrer,Home Office,16,11,1538.2127,0.12222222222222222,0.2248148148148148,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
PP-18955,Paul Prost,Home Office,97,10,1495.0854,0.1088235294117647,0.19476307189542483,3,0.0016766071,Loyal,Upsell to higher-margin categories (Technology),LOW
BE-11335,Bill Eplett,Home Office,119,5,1487.7739000000001,0.022222222222222223,0.3575,3,,Lost,Standard newsletter + seasonal promotions,LOW
GK-14620,Grace Kelly,Corporate,112,9,1448.5525,0.15714285714285717,0.2244047619047619,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
JG-15160,James Galang,Consumer,1,11,1415.6664,0.1111111111111111,0.19333333333333333,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
EH-13765,Edward Hooks,Corporate,135,12,1393.5154,0.07187500000000001,0.2941753472222222,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AC-10450,Amy Cox,Consumer,11,7,1366.0098,0.18888888888888888,0.1322222222222222,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DW-13480,Dianna Wilson,Home Office,217,5,1348.7556,0.03636363636363637,0.29568181818181816,3,,Lost,Dormant reactivation: survey + discount offer,LOW
EM-14140,Eugene Moren,Home Office,48,6,1319.3655,0.06666666666666668,0.31083333333333335,3,0.0027533942,Loyal,Upsell to higher-margin categories (Technology),LOW
DM-13345,Denise Monton,Corporate,22,8,1319.0586,0.1,0.2481196581196581,3,0.0017119135,Loyal,Upsell to higher-margin categories (Technology),LOW
NC-18535,Nick Crebassa,Corporate,6,7,1314.758,0.13666666666666666,0.22065359477124183,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AH-10210,Alan Hwang,Consumer,6,9,1308.5546,0.09230769230769233,0.29961538461538456,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
YC-21895,Yoseph Carroll,Corporate,4,5,1305.629,0.07500000000000001,0.2671875,3,0.00319299,Lost,Standard newsletter + seasonal promotions,LOW
AH-10690,Anna Häberlin,Corporate,410,12,1298.0166,0.21739130434782608,-0.013985507246376806,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
RA-19885,Ruben Ausman,Corporate,43,7,1292.8656,0.04000000000000001,0.361,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
PW-19240,Pierre Wener,Consumer,464,7,1290.354,0.1708333333333333,0.13826622315592904,3,,At Risk,Re-engagement email: show personalized deals,LOW
RH-19510,Rick Huthwaite,Home Office,467,6,1289.4535,0.03333333333333333,0.2889583333333333,3,,At Risk,Re-engagement email: show personalized deals,LOW
LC-16885,Lena Creighton,Consumer,16,12,1288.3469,0.1565217391304348,0.1280072463768116,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
SC-20725,Steven Cartwright,Consumer,187,11,1276.6513,0.15000000000000002,0.12019230769230768,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
JE-15715,Joe Elijah,Consumer,46,10,1262.2926,0.3227272727272727,-0.17289141414141415,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
MA-17560,Matt Abelman,Home Office,64,11,1240.2266,0.09411764705882353,0.3029330065359477,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
MW-18220,Mitch Webber,Consumer,17,7,1238.422,0.07857142857142858,0.19480158730158728,3,0.0017671292,Loyal,Upsell to higher-margin categories (Technology),LOW
KH-16690,Kristen Hastings,Corporate,2,7,1227.5091,0.12666666666666665,0.1991111111111111,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
JK-15205,Jamie Kunitz,Consumer,61,5,1219.983,0.13076923076923078,0.15628205128205128,3,,Lost,Standard newsletter + seasonal promotions,LOW
FC-14245,Frank Carlisle,Home Office,70,7,1217.1662000000001,0.1357142857142857,0.20089285714285712,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
NP-18325,Naresj Patel,Consumer,25,6,1208.8890000000001,0.05714285714285715,0.24785714285714286,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
RS-19765,Roland Schwarz,Corporate,36,8,1206.3851,0.1142857142857143,0.1894642857142857,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
QJ-19255,Quincy Jones,Corporate,25,9,1203.6768,0.12307692307692308,0.1924145299145299,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
SV-20365,Seth Vernon,Consumer,101,10,1199.4242,0.15625,0.1320920138888889,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
HR-14830,Harold Ryan,Corporate,159,7,1196.9504,0.09999999999999999,0.22257936507936504,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DH-13075,Dave Hallsten,Corporate,277,6,1193.7404,0.0782608695652174,0.18630434782608693,3,,Lost,Dormant reactivation: survey + discount offer,LOW
GH-14425,Gary Hwang,Consumer,50,4,1176.4181,0.19,0.16975,3,,Lost,Standard newsletter + seasonal promotions,LOW
JK-15640,Jim Kriz,Home Office,180,9,1172.5303,0.10000000000000002,0.3189583333333333,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AJ-10795,Anthony Johnson,Corporate,166,7,1158.7064,0.08333333333333333,0.26387955182072825,3,0.001667591,Loyal,Upsell to higher-margin categories (Technology),LOW
PO-19180,Philisse Overcash,Home Office,160,9,1155.4331,0.10555555555555557,0.19626984126984126,3,0.0016033205,Loyal,Upsell to higher-margin categories (Technology),LOW
CA-11965,Carol Adams,Corporate,96,6,1143.3817,0.11200000000000002,0.2816176470588235,3,0.002324581,Loyal,Upsell to higher-margin categories (Technology),LOW
BD-11500,Bradley Drucker,Consumer,35,6,1142.1225,0.135,0.10626470588235297,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
GB-14575,Giulietta Baptist,Consumer,13,5,1135.8393,0.037500000000000006,0.3178125,3,,Lost,Standard newsletter + seasonal promotions,LOW
TP-21130,Theone Pippenger,Consumer,8,9,1129.1261,0.08750000000000001,0.09453124999999997,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
TT-21460,Tonja Turnell,Home Office,12,7,1124.4999,0.1285714285714286,0.1846428571428571,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
IL-15100,Ivan Liston,Consumer,142,7,1121.937,0.07142857142857142,0.28035714285714286,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
KD-16270,Karen Daniels,Consumer,484,5,1107.6952000000003,0.1875,0.00645833333333334,3,,At Risk,Re-engagement email: show personalized deals,LOW
BD-11320,Bill Donatelli,Consumer,33,12,1094.5037,0.07894736842105263,0.24323308270676688,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
GZ-14470,Gary Zandusky,Consumer,7,9,1087.7539,0.07857142857142858,0.2950510204081632,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AM-10705,Anne McFarland,Consumer,162,8,1085.7326,0.06363636363636363,0.24562229437229435,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
FH-14275,Frank Hawley,Corporate,37,10,1073.2676,0.1285714285714286,0.2374206349206349,3,0.0017761269,Loyal,Upsell to higher-margin categories (Technology),LOW
JF-15565,Jill Fjeld,Consumer,54,8,1073.2088,0.17500000000000002,0.16185763888888888,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
MJ-17740,Max Jones,Consumer,22,7,1054.5529000000001,0.21333333333333335,0.12372222222222222,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
JD-15895,Jonathan Doherty,Corporate,394,11,1050.2667999999999,0.075,0.25157118055555555,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
CB-12535,Claudia Bergmann,Corporate,197,8,1049.5601,0.05,0.3136764705882353,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
NW-18400,Natalie Webber,Consumer,172,7,1023.123,0.21363636363636365,-0.004545454545454539,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
BB-11545,Brenda Bowman,Corporate,28,9,1015.0749999999999,0.195,-0.12601785714285715,3,0.0021781672,Loyal,Upsell to higher-margin categories (Technology),LOW
SC-20050,Sample Company A,Home Office,40,9,1011.7443,0.18666666666666668,0.025333333333333326,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
ES-14020,Erica Smith,Consumer,40,5,1003.2935,0.125,0.23281249999999998,3,,Lost,Standard newsletter + seasonal promotions,LOW
IM-15055,Ionia McGrath,Consumer,409,3,975.7701,0.1,0.3787499999999999,3,,At Risk,Re-engagement email: show personalized deals,LOW
AT-10735,Annie Thurman,Consumer,13,10,974.107,0.08750000000000001,0.23390625,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
KM-16375,Katherine Murray,Home Office,56,8,973.7901999999999,0.13999999999999999,0.16310714285714284,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
HK-14890,Heather Kirkland,Corporate,151,8,956.9451,0.21333333333333335,-0.009833333333333357,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DK-12895,Dana Kaydos,Consumer,45,5,937.6496,0.08000000000000002,0.2338333333333333,3,,Lost,Standard newsletter + seasonal promotions,LOW
BW-11110,Bart Watters,Corporate,121,8,921.2574,0.1411764705882353,0.16552287581699343,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
SB-20185,Sarah Brown,Consumer,188,6,885.4623999999999,0.1416666666666667,0.1987202380952381,3,,Lost,Dormant reactivation: survey + discount offer,LOW
DK-12835,Damala Kotsonis,Corporate,21,12,881.1228000000001,0.17777777777777778,0.16045414462081128,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AI-10855,Arianne Irving,Consumer,13,10,867.7271000000001,0.07222222222222223,0.31220238095238095,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
TS-21205,Thomas Seio,Corporate,198,7,862.8877,0.15789473684210525,0.05824561403508771,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
CJ-12010,Caroline Jumper,Consumer,189,8,858.7414,0.1885,0.08622205245734657,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AA-10645,Anna Andreadi,Consumer,55,6,857.8033,0.06388888888888888,0.2441425459072518,3,0.003360278,Lost,Standard newsletter + seasonal promotions,LOW
CC-12685,Craig Carroll,Consumer,799,4,850.1591,0.25,-0.00777777777777781,3,,At Risk,Re-engagement email: show personalized deals,LOW
KC-16255,Karen Carlisle,Corporate,407,6,846.1217,0.02,0.359,3,,At Risk,Re-engagement email: show personalized deals,LOW
MS-17365,Maribeth Schnelling,Consumer,273,10,844.9354999999998,0.16041666666666668,0.07363902505446619,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DB-13270,Deborah Brumfield,Home Office,53,8,841.8263999999999,0.2076923076923077,-0.06390109890109893,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
GA-14515,George Ashbrook,Consumer,149,8,840.899,0.0642857142857143,0.3086706349206349,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
LW-17215,Luke Weiss,Consumer,21,7,837.2411,0.16666666666666666,0.11040740740740741,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
RD-19660,Robert Dilbeck,Home Office,114,5,835.772,0.08,0.17249999999999996,3,,Lost,Standard newsletter + seasonal promotions,LOW
CS-12355,Christine Sundaresam,Consumer,6,11,831.9432,0.08181818181818182,0.2919318181818182,3,0.0015207777,Loyal,Upsell to higher-margin categories (Technology),LOW
TB-21175,Thomas Boland,Corporate,58,4,829.1635,0.09090909090909091,0.2334090909090909,3,,Lost,Standard newsletter + seasonal promotions,LOW
GZ-14545,George Zrebassa,Corporate,157,4,828.661,0.04,0.271,2,,Lost,Dormant reactivation: survey + discount offer,LOW
KL-16645,Ken Lonsdale,Consumer,47,12,806.855,0.19999999999999998,-0.03256704980842912,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
HG-15025,Hunter Glantz,Consumer,6,7,804.6113,0.17272727272727273,-0.00020202020202025441,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
PW-19030,Pauline Webber,Corporate,46,10,803.8169,0.038461538461538464,0.2958974358974359,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
BH-11710,Brosina Hoffman,Consumer,23,8,802.7898,0.18333333333333335,0.11754464285714285,3,0.0033629762,Loyal,Upsell to higher-margin categories (Technology),LOW
SW-20455,Shaun Weien,Consumer,162,7,793.6548,0.1111111111111111,0.31166666666666665,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
GM-14455,Gary Mitchum,Home Office,16,6,793.2814000000001,0.16666666666666666,0.1703472222222222,3,,Lost,Standard newsletter + seasonal promotions,LOW
JE-16165,Justin Ellison,Corporate,20,3,789.6476,0.028571428571428574,0.31607142857142856,3,,Lost,Standard newsletter + seasonal promotions,LOW
MZ-17515,Mary Zewe,Corporate,282,6,787.7503,0.27999999999999997,-0.22175000000000003,3,,Lost,Dormant reactivation: survey + discount offer,LOW
JL-15850,John Lucas,Consumer,614,6,779.9046,0.23636363636363636,0.08371212121212118,3,,At Risk,Re-engagement email: show personalized deals,LOW
KB-16240,Karen Bern,Corporate,4,7,763.9076,0.15,0.125,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
SU-20665,Stephanie Ulpright,Home Office,20,7,763.4719,0.13333333333333333,0.22593253968253968,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
NH-18610,Nicole Hansen,Corporate,189,7,760.1666,0.05454545454545456,0.30818181818181817,2,,Loyal,Upsell to higher-margin categories (Technology),LOW
JP-15520,Jeremy Pistek,Consumer,8,7,757.1802,0.059375000000000004,0.26934742647058824,3,0.002274389,Loyal,Upsell to higher-margin categories (Technology),LOW
BE-11410,Bobby Elias,Consumer,98,5,755.9150999999999,0.16,0.346,2,,Lost,Standard newsletter + seasonal promotions,LOW
JM-16195,Justin MacKendrick,Consumer,57,10,754.1144,0.06315789473684212,0.31394736842105264,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
TT-21070,Ted Trevino,Consumer,31,7,751.9567,0.1142857142857143,0.2833928571428571,3,0.0017088586,Loyal,Upsell to higher-margin categories (Technology),LOW
JK-15625,Jim Karlsson,Consumer,61,7,750.9485,0.11666666666666668,0.19937499999999997,3,0.0016758977,Loyal,Upsell to higher-margin categories (Technology),LOW
KM-16720,Kunst Miller,Consumer,28,8,745.7685,0.08928571428571429,0.24456632653061222,3,0.0016820495,Loyal,Upsell to higher-margin categories (Technology),LOW
CS-12250,Chris Selesnick,Corporate,26,12,738.3626,0.05714285714285715,0.3483928571428571,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
TW-21025,Tamara Willingham,Home Office,64,7,737.3905,0.10000000000000002,0.22520833333333332,3,0.001781779,Loyal,Upsell to higher-margin categories (Technology),LOW
RD-19585,Rob Dowd,Consumer,180,10,734.5158,0.03157894736842106,0.3359210526315789,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
